EDF File,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
Subject12_1.edf,0.124899465,0.124342286,0.116517431,0.121446063,0.127727994,0.139295471,0.11875098,0.172493502,0.111525071,0.115516282,0.127735178,0.111079244,0.133806694,0.109782862,0.118059274,0.108603488,0.125739933,0.108008447,0.109240404,0.179941667,0.117682765
Subject11_1.edf,0.081397067,0.107344332,0.114705629,0.108817435,0.102839357,0.11229195,0.12087602,0.126116562,0.099773631,0.106280115,0.112318488,0.119467116,0.106277318,0.091744571,0.112873819,0.1087442,0.106514149,0.107846305,0.105648847,0.123686286,0.085447256
Subject01_1.edf,0.140114481,0.138218559,0.140984311,0.122745219,0.140723757,0.11040187,0.258304865,0.110682908,0.147927061,0.129197444,0.162104069,0.116879674,0.132821817,0.134072137,0.111136866,0.137207111,0.131128392,0.124114735,0.090534124,0.159556406,0.126020752
Subject13_1.edf,0.123916814,0.130464447,0.138183127,0.12705369,0.087870267,0.113199857,0.086136044,0.103453564,0.110193148,0.125429464,0.138077197,0.157146578,0.121529161,0.115599084,0.118664666,0.130984978,0.116478105,0.111879249,0.111659676,0.131788575,0.136873979
Subject10_1.edf,0.082953442,0.062032427,0.092881499,0.098522376,0.076017992,0.114601775,0.09819354,0.10050393,0.098694314,0.093389792,0.10355251,0.124594274,0.104423545,0.098990874,0.085469035,0.091740409,0.092261342,0.094569011,0.097298137,0.099032916,0.138877145
Subject14_1.edf,0.112783676,0.078259494,0.105809804,0.112768616,0.098415472,0.089802885,0.086830445,0.10937786,0.107285581,0.111317518,0.063791803,0.127225432,0.125971275,0.126226085,0.137197447,0.134592103,0.099340195,0.106734214,0.140964981,0.116812464,0.137435525
Subject18_1.edf,0.127344178,0.116958836,0.119411328,0.136081456,0.099003287,0.114817126,0.115335572,0.120198213,0.117527212,0.114732461,0.114012378,0.125832668,0.122560573,0.115006124,0.115594751,0.118872555,0.133173524,0.116566144,0.11387222,0.115110315,0.126675557
Subject02_1.edf,0.258232548,0.123958306,0.142158693,0.148532564,0.22864027,0.167645372,0.147697985,0.133175115,0.118967085,0.121255262,0.142560445,0.116292245,0.124188156,0.119627027,0.149447009,0.111742025,0.119582223,0.115796359,0.120674135,0.174813182,0.163582113
Subject15_1.edf,0.122511747,0.072936856,0.124925076,0.119797472,0.092337178,0.092764649,0.118353075,0.100519607,0.124621638,0.11183939,0.116294991,0.133237085,0.130780519,0.128567353,0.129040772,0.131802875,0.121222816,0.132176952,0.127972169,0.092664124,0.130584364
Subject16_1.edf,0.086743482,0.081135439,0.112618894,0.11656709,0.088804107,0.101825592,0.122844736,0.141745332,0.118942099,0.115633155,0.124596976,0.15362279,0.116191993,0.11016947,0.116318357,0.108678341,0.111815024,0.118521214,0.111920633,0.110501109,0.119829487
Subject19_1.edf,0.157363148,0.146245518,0.151712239,0.146443614,0.15651502,0.163126722,0.142641642,0.161298295,0.144936628,0.150363826,0.131806951,0.129506949,0.139376823,0.132416772,0.141499444,0.136082714,0.146107627,0.158000298,0.135984652,0.188355651,0.141911586
Subject25_1.edf,0.057431198,0.052347698,0.107476069,0.104385119,0.109261603,0.090132899,0.127723706,0.112041727,0.1220607,0.106954058,0.124253947,0.119598697,0.124585023,0.1208772,0.12662761,0.125067393,0.103896975,0.115697086,0.122232493,0.154683839,0.188218662
Subject26_1.edf,0.091663534,0.098132676,0.101656785,0.105640453,0.092328315,0.08913347,0.112830568,0.107152796,0.103739537,0.101210954,0.105686751,0.108563318,0.114304066,0.107269444,0.116486885,0.117774048,0.099977675,0.104871155,0.113327365,0.10522173,0.135842822
Subject24_1.edf,0.104781831,0.114194422,0.14107462,0.120321741,0.102672925,0.099029952,0.118165175,0.109284763,0.123655036,0.1189442,0.126470387,0.141881702,0.12825226,0.134934802,0.129891401,0.131513356,0.138215069,0.122961743,0.129227465,0.14688718,0.091552829
Subject20_1.edf,0.145601256,0.144391677,0.157259286,0.168854388,0.194949529,0.183509548,0.099059849,0.132239984,0.152292689,0.118115409,0.146111953,0.126065769,0.140851578,0.129633601,0.136621642,0.12060941,0.117307943,0.12430608,0.136302399,0.164661639,0.168064506
Subject21_1.edf,0.098488911,0.091663523,0.122747698,0.126534446,0.121380909,0.113395178,0.124471698,0.118479891,0.12413423,0.122843998,0.13048382,0.13293452,0.127562003,0.127992168,0.132089636,0.129325916,0.123202429,0.128103498,0.133251378,0.113421547,0.127785245
Subject29_1.edf,0.100806626,0.113696614,0.126677892,0.134468431,0.120100757,0.123436225,0.12620071,0.135420798,0.134228035,0.138057298,0.127912403,0.136727299,0.133826245,0.117718286,0.13526758,0.136574401,0.134430407,0.137458042,0.13478924,0.131967134,0.146978423
Subject32_1.edf,0.119635611,0.102717546,0.114104791,0.114120299,0.098449612,0.090069494,0.118478865,0.119153179,0.117629382,0.11908941,0.129699427,0.125373624,0.129431798,0.12396581,0.17404369,0.153562755,0.114887332,0.118670085,0.124425979,0.132991414,0.170370121
Subject28_1.edf,0.114135755,0.125093687,0.118358212,0.12916452,0.116245176,0.122722645,0.130499555,0.12541835,0.132686008,0.13180159,0.148054174,0.099334614,0.136022576,0.130736041,0.1370457,0.13291774,0.116416647,0.136358092,0.126026519,0.13619563,0.114410795
Subject03_1.edf,0.1011654,0.122796577,0.121490572,0.118280673,0.116921848,0.122156741,0.098125123,0.12411847,0.119167879,0.120557033,0.126925675,0.124730899,0.127304379,0.12688674,0.123380851,0.129855859,0.122953523,0.117051314,0.11992594,0.120205531,0.143522323
Subject30_1.edf,0.144905475,0.155082165,0.143042094,0.148339655,0.128876609,0.122689635,0.135762011,0.116156658,0.133052778,0.126269552,0.136694791,0.161383063,0.129444868,0.127333931,0.129734027,0.128355164,0.132891864,0.140964798,0.123937383,0.148650035,0.174818932
Subject27_1.edf,0.106794719,0.164323259,0.121349631,0.133082916,0.114981729,0.173920635,0.123663645,0.150424513,0.120364298,0.13462276,0.127412646,0.134199536,0.123428216,0.131005603,0.118709131,0.117046778,0.119685735,0.130562128,0.124278558,0.151272863,0.133311697
Subject06_1.edf,0.100945895,0.100088161,0.094978009,0.113389814,0.085794218,0.104822744,0.098372058,0.114781747,0.113095819,0.103762665,0.122621305,0.124380709,0.128246234,0.114848439,0.160873485,0.131388481,0.109910754,0.111416905,0.121395207,0.121209257,0.100497603
Subject04_1.edf,0.101696186,0.090101188,0.10434238,0.109004795,0.10278129,0.079981859,0.121516819,0.101470587,0.113230269,0.115615632,0.107524641,0.091152308,0.112440257,0.114103741,0.121298655,0.092687635,0.109677495,0.110683338,0.113741841,0.097695263,0.149326954
Subject34_1.edf,0.122005394,0.132927443,0.125073569,0.1346575,0.115488853,0.127570223,0.12712125,0.129661327,0.126467619,0.132123854,0.124517191,0.131233283,0.12255017,0.124332651,0.134892587,0.154486315,0.130145328,0.128081653,0.11939947,0.139529243,0.121579035
Subject35_1.edf,0.115486329,0.133887106,0.114538232,0.120828903,0.113163615,0.130376412,0.114669337,0.101738659,0.121098249,0.118500317,0.134990541,0.101386186,0.122711322,0.116234415,0.140035643,0.12258727,0.124954894,0.097018455,0.119316159,0.13028117,0.16773672
Subject33_1.edf,0.107912894,0.10552844,0.115112258,0.110216668,0.095331024,0.11697352,0.12507148,0.119452483,0.124255453,0.12346034,0.126445968,0.131052508,0.133763071,0.130739524,0.137709739,0.135940195,0.116498774,0.119945806,0.13180816,0.108901913,0.159477387
Subject07_1.edf,0.139222567,0.12450979,0.130880618,0.142111391,0.111158424,0.128435767,0.114299254,0.119648722,0.120289291,0.119296813,0.133271965,0.119771724,0.108409944,0.112376914,0.11474812,0.11800816,0.120258805,0.109025647,0.104744514,0.147891544,0.188482262
Subject05_1.edf,0.077395357,0.155906827,0.100818358,0.110003908,0.073610815,0.089891292,0.097059336,0.111214016,0.119022364,0.119436704,0.151234733,0.126348597,0.126598871,0.127523917,0.129723117,0.129220387,0.097743099,0.114500305,0.11452588,0.106771537,0.159405417
Subject09_1.edf,0.121181661,0.109500002,0.096074339,0.09387539,0.126235339,0.122995464,0.094959552,0.103607902,0.092261948,0.096337374,0.099100035,0.12597431,0.104060313,0.105317925,0.111516429,0.118261085,0.091236589,0.093006738,0.101316603,0.148111178,0.170387562
Subject08_1.edf,0.117953133,0.123492976,0.127610498,0.112714012,0.120834409,0.111529546,0.115312305,0.12082013,0.122605043,0.124699726,0.102400848,0.133520361,0.129931238,0.129797405,0.131515413,0.127491681,0.12487988,0.123968458,0.12967008,0.139371217,0.129020169
Subject31_1.edf,0.10343131,0.080269649,0.106825002,0.116859035,0.099668921,0.100782685,0.117619236,0.091656659,0.120273267,0.097043285,0.094789511,0.097168513,0.107646865,0.112332556,0.125568213,0.129583934,0.104028061,0.118439278,0.107988106,0.169892553,0.091492712
Subject17_1.edf,0.134762095,0.155370991,0.134612954,0.122576349,0.127366474,0.108100919,0.122314652,0.124339449,0.122420371,0.118072781,0.123247719,0.11690659,0.121546414,0.115323178,0.121627533,0.117502053,0.118852678,0.112085961,0.124679461,0.162222432,0.118250585
Subject22_1.edf,0.148868482,0.157131943,0.143260511,0.13633411,0.130496898,0.165291503,0.147356896,0.093141745,0.127557346,0.143529197,0.145483348,0.138404157,0.151519716,0.143321432,0.145739133,0.135739074,0.13796356,0.13871236,0.143775454,0.145172654,0.164888167
Subject00_1.edf,0.140360616,0.139944871,0.14098322,0.137132453,0.115127864,0.132789237,0.132934182,0.140422256,0.134808083,0.141183618,0.135935875,0.143019768,0.143895632,0.143783401,0.144168822,0.142777241,0.137622311,0.127073532,0.14043852,0.13260181,0.119193583
Subject23_1.edf,0.09528508,0.095034383,0.121497857,0.114742152,0.118575273,0.102960145,0.129137972,0.14207261,0.119636104,0.118981252,0.125277264,0.123285752,0.118594773,0.118565109,0.12195873,0.120172824,0.115564761,0.117901739,0.116009319,0.128797128,0.180035302
Subject11_2.edf,0.143477178,0.183811796,0.146243945,0.128720333,0.144731609,0.138456859,0.152129828,0.109088359,0.121206482,0.147015995,0.130237589,0.129911143,0.113462745,0.114744825,0.117343924,0.118609324,0.121838274,0.124068802,0.111638584,0.20134021,0.187489929
Subject12_2.edf,0.170759979,0.153352221,0.133653075,0.130820227,0.196643299,0.142763585,0.145816615,0.116606256,0.125603604,0.125852668,0.150408665,0.133085284,0.124821952,0.122543482,0.125818862,0.123480197,0.138514358,0.118468496,0.121039189,0.225001661,0.130510586
Subject10_2.edf,0.103583772,0.084914635,0.111829205,0.119135735,0.100502368,0.089247924,0.131946259,0.120831846,0.121103981,0.122154024,0.136791301,0.144870364,0.129376333,0.125677427,0.132608986,0.130722833,0.103451647,0.110984797,0.126731831,0.151919009,0.137230144
Subject02_2.edf,0.254349577,0.162141794,0.16421749,0.144168827,0.241331096,0.158519633,0.181492337,0.158147567,0.128463792,0.1305205,0.181456227,0.157370548,0.143112931,0.127986352,0.178789652,0.152198657,0.12944099,0.129118788,0.134957998,0.145906853,0.173943258
Subject18_2.edf,0.152713079,0.146594057,0.136937507,0.149306621,0.152005505,0.143221706,0.125890738,0.138388405,0.14858621,0.122139629,0.093205027,0.155153531,0.126292195,0.126836218,0.131100757,0.129001365,0.166281355,0.123345983,0.121313224,0.163214522,0.145572303
Subject16_2.edf,0.170806359,0.154249723,0.150173661,0.170168916,0.187841755,0.169876922,0.197638652,0.23498219,0.142966681,0.149885188,0.165702237,0.219464317,0.12822813,0.130374036,0.128873712,0.121819102,0.136381817,0.136292586,0.131221437,0.153557098,0.125310218
Subject19_2.edf,0.188147761,0.227991738,0.133544736,0.152808346,0.099096634,0.175182274,0.135556575,0.289877395,0.133732429,0.151006315,0.124187401,0.137496507,0.117478567,0.134931096,0.141956779,0.136528133,0.140987219,0.142664927,0.124427232,0.22700004,0.158659359
Subject17_2.edf,0.081104102,0.097460035,0.095905288,0.097761396,0.101211144,0.088442351,0.12528994,0.121453423,0.112527302,0.110868945,0.124592017,0.120047891,0.126111729,0.121704309,0.129217058,0.122636123,0.095678353,0.106683571,0.112434599,0.202377881,0.123815934
Subject21_2.edf,0.0945164,0.101274455,0.132705224,0.153861616,0.110132699,0.119457535,0.141191119,0.135474787,0.141816904,0.135031537,0.140027503,0.150041236,0.134908989,0.139154116,0.126480831,0.126649747,0.139009926,0.138535593,0.137549815,0.129702384,0.139506759
Subject23_2.edf,0.0874031,0.102403144,0.111391253,0.113366047,0.113276363,0.103209567,0.102273695,0.144597786,0.110349182,0.116548295,0.121148179,0.133319288,0.118321663,0.107756418,0.123558531,0.121242385,0.111019948,0.116834221,0.119225773,0.13133358,0.18172362
Subject26_2.edf,0.078359339,0.0551246,0.08623003,0.095428358,0.065509897,0.055559933,0.099731861,0.088711917,0.090809599,0.094679316,0.100760798,0.103254824,0.104584669,0.104728497,0.112988538,0.11667496,0.084910223,0.094915605,0.10918288,0.120359883,0.162741862
Subject22_2.edf,0.076105957,0.086202009,0.115477777,0.122727595,0.091463781,0.101574029,0.125068046,0.12644287,0.126367578,0.126016452,0.136955817,0.120047181,0.105097395,0.129302832,0.135587167,0.119189788,0.116452608,0.120761343,0.126397449,0.137448239,0.184262961
Subject25_2.edf,0.062151045,0.058335664,0.106659076,0.104457202,0.104298872,0.083472241,0.129009457,0.130248085,0.121902241,0.111602774,0.115711682,0.080202096,0.132990242,0.12704377,0.1344594,0.116087999,0.102290298,0.118842414,0.13054198,0.160191472,0.189742691
Subject24_2.edf,0.090824255,0.132438583,0.139171008,0.134802274,0.109170019,0.089673823,0.132353493,0.094750682,0.122624997,0.132066782,0.176200347,0.120369671,0.145854581,0.146343789,0.140966423,0.14422356,0.131597803,0.128447026,0.148138083,0.200751079,0.092881632
Subject32_2.edf,0.136248748,0.119767384,0.144515476,0.126417361,0.150668258,0.119807801,0.152562933,0.138841386,0.137163205,0.126056431,0.1430023,0.127446497,0.141921238,0.130007234,0.200492097,0.172057481,0.127051385,0.123317748,0.13231487,0.156507991,0.17616079
Subject30_2.edf,0.068155008,0.073677208,0.100890832,0.105797504,0.074543013,0.075246387,0.124548821,0.12213579,0.12833262,0.126141109,0.123660906,0.165665937,0.12281531,0.125508357,0.127932257,0.128969836,0.104156205,0.135185307,0.12677321,0.139550411,0.166079613
Subject33_2.edf,0.102114383,0.112448519,0.111060944,0.11079494,0.099199625,0.106085789,0.125353661,0.132719325,0.117624385,0.120311762,0.126514218,0.132912867,0.1203536,0.120493742,0.129282652,0.127776834,0.111009039,0.114926122,0.119530948,0.098569406,0.167707954
Subject27_2.edf,0.127870408,0.193294828,0.114805311,0.127435658,0.149029109,0.181810765,0.137525205,0.183485813,0.116947379,0.128148477,0.107176287,0.124702951,0.120155345,0.121563703,0.125697127,0.129195257,0.110324466,0.118168527,0.115996376,0.152498699,0.136301251
Subject28_2.edf,0.137477661,0.123717637,0.114843095,0.113346479,0.147712808,0.131881687,0.13603994,0.129455051,0.132332295,0.13330601,0.149736472,0.148151098,0.134802722,0.128186352,0.137329106,0.132332625,0.128539184,0.128891352,0.129505163,0.163126003,0.127173973
Subject29_2.edf,0.14346966,0.15245003,0.131522893,0.144794615,0.129724514,0.127823196,0.134279408,0.146913622,0.135012219,0.142751983,0.13388649,0.14325242,0.137906685,0.128924086,0.142842494,0.143379584,0.146006052,0.142850001,0.138117542,0.173468012,0.172770038
Subject07_2.edf,0.090046507,0.101008871,0.114980103,0.121677567,0.090114967,0.156485743,0.108768171,0.150929279,0.10268341,0.116768725,0.155656901,0.127122655,0.106526307,0.114350827,0.098588703,0.121336602,0.103538495,0.10384056,0.109773379,0.160681678,0.194128681
Subject34_2.edf,0.10683627,0.133312824,0.132047838,0.129357835,0.138559822,0.085449636,0.143401637,0.138200843,0.135072204,0.150770146,0.136364321,0.144831369,0.135764088,0.134877973,0.138546398,0.184748283,0.119370771,0.135296064,0.130769511,0.132056989,0.138117757
Subject08_2.edf,0.081922011,0.076952483,0.115576867,0.103149296,0.093639722,0.101408622,0.109207135,0.133167377,0.117071476,0.125280947,0.098790377,0.116187255,0.126084678,0.133809962,0.114135205,0.116767924,0.114789409,0.112173799,0.129543047,0.124172669,0.136615744
Subject04_2.edf,0.123018012,0.070672429,0.115452029,0.11086282,0.096382128,0.079328986,0.118961994,0.114692952,0.121055418,0.120412753,0.115633549,0.109381237,0.120180967,0.122689808,0.1275382,0.127920038,0.112331325,0.117061896,0.122461281,0.105145912,0.139528423
Subject06_2.edf,0.072092327,0.121437325,0.140970181,0.126655175,0.103860126,0.113205954,0.155031076,0.137732462,0.129654599,0.131729951,0.188854196,0.129673521,0.151152358,0.14084886,0.197954401,0.151534282,0.121562266,0.124362645,0.15303512,0.15567473,0.121701459
Subject09_2.edf,0.092235455,0.147399157,0.100222519,0.105602051,0.096135209,0.130536647,0.104692809,0.114541681,0.10058672,0.094070817,0.116363906,0.150443463,0.128644665,0.106340251,0.110375566,0.1180131,0.096500288,0.102963693,0.106202202,0.110466591,0.17428774
Subject01_2.edf,0.097900341,0.125874633,0.105770812,0.117940244,0.077411333,0.067001355,0.13220458,0.095421101,0.119118842,0.111477032,0.114743077,0.133488315,0.102377574,0.088543555,0.102767742,0.048987218,0.104012263,0.116320244,0.085825506,0.09706607,0.123273659
Subject35_2.edf,0.126678746,0.161184484,0.155887358,0.142034468,0.170598735,0.144341226,0.137416311,0.133854375,0.145669714,0.144238063,0.154474119,0.124622311,0.148965142,0.143561574,0.144793638,0.142331236,0.131592325,0.137411493,0.138245062,0.230273607,0.118632109
Subject05_2.edf,0.077633237,0.083202717,0.105029643,0.11524069,0.072582245,0.098305686,0.101672214,0.123169708,0.125455116,0.128698585,0.102919807,0.135935373,0.131332329,0.134139026,0.130795724,0.131422601,0.109333165,0.126386682,0.108298453,0.137475133,0.162806148
Subject20_2.edf,0.129998764,0.081093661,0.13047077,0.125111602,0.113263601,0.114164866,0.094538431,0.108763544,0.122445568,0.117701095,0.110951896,0.127357416,0.13268685,0.118961135,0.135698545,0.091378484,0.123108509,0.1150973,0.140966024,0.127085015,0.139361881
Subject03_2.edf,0.08421909,0.081367665,0.106991729,0.106804449,0.102025541,0.107618624,0.078922912,0.105074735,0.101687461,0.105704489,0.10534439,0.123554163,0.113712215,0.113044424,0.119205042,0.128004037,0.106074344,0.108160158,0.108432126,0.090972789,0.149185511
Subject15_2.edf,0.140783116,0.058858269,0.13269387,0.114512959,0.082161161,0.118692471,0.129476667,0.102637472,0.119231467,0.118739729,0.123046931,0.135790096,0.14459972,0.139512275,0.117885108,0.140611007,0.117909455,0.118386792,0.13193397,0.175684431,0.133797986
Subject14_2.edf,0.065085321,0.041287097,0.084858884,0.076428335,0.05229092,0.064571378,0.08893799,0.093677604,0.089981004,0.088056699,0.097639184,0.106261383,0.105241045,0.106695992,0.121390715,0.118927355,0.078021246,0.085662562,0.119616167,0.147037287,0.157488911
Subject00_2.edf,0.102637878,0.125828025,0.124264308,0.130331455,0.128406973,0.138855792,0.139690948,0.12667254,0.12971023,0.133604781,0.149379651,0.149086811,0.143290856,0.143136298,0.147192561,0.146565247,0.128401442,0.12348819,0.137080385,0.142308857,0.135594428
Subject13_2.edf,0.064805059,0.086241549,0.08481058,0.091328404,0.081836083,0.07515661,0.089406709,0.079642202,0.089545885,0.091112774,0.115875247,0.100188943,0.104356225,0.100864876,0.107425731,0.102907874,0.085736911,0.091461295,0.100046483,0.138006331,0.14900972
Subject31_2.edf,0.161571256,0.118536632,0.146450014,0.128182713,0.158450501,0.128211562,0.140695982,0.141879982,0.120762808,0.106334162,0.111108396,0.126511323,0.126366346,0.116092122,0.134749876,0.132940958,0.118227952,0.113405993,0.111448149,0.182887742,0.094982114
