,EEG Fp1_Delta,EEG Fp1_Theta,EEG Fp1_Alpha,EEG Fp1_Beta,EEG Fp1_Gamma,EEG Fp2_Delta,EEG Fp2_Theta,EEG Fp2_Alpha,EEG Fp2_Beta,EEG Fp2_Gamma,EEG F3_Delta,EEG F3_Theta,EEG F3_Alpha,EEG F3_Beta,EEG F3_Gamma,EEG F4_Delta,EEG F4_Theta,EEG F4_Alpha,EEG F4_Beta,EEG F4_Gamma,EEG F7_Delta,EEG F7_Theta,EEG F7_Alpha,EEG F7_Beta,EEG F7_Gamma,EEG F8_Delta,EEG F8_Theta,EEG F8_Alpha,EEG F8_Beta,EEG F8_Gamma,EEG T3_Delta,EEG T3_Theta,EEG T3_Alpha,EEG T3_Beta,EEG T3_Gamma,EEG T4_Delta,EEG T4_Theta,EEG T4_Alpha,EEG T4_Beta,EEG T4_Gamma,EEG C3_Delta,EEG C3_Theta,EEG C3_Alpha,EEG C3_Beta,EEG C3_Gamma,EEG C4_Delta,EEG C4_Theta,EEG C4_Alpha,EEG C4_Beta,EEG C4_Gamma,EEG T5_Delta,EEG T5_Theta,EEG T5_Alpha,EEG T5_Beta,EEG T5_Gamma,EEG T6_Delta,EEG T6_Theta,EEG T6_Alpha,EEG T6_Beta,EEG T6_Gamma,EEG P3_Delta,EEG P3_Theta,EEG P3_Alpha,EEG P3_Beta,EEG P3_Gamma,EEG P4_Delta,EEG P4_Theta,EEG P4_Alpha,EEG P4_Beta,EEG P4_Gamma,EEG O1_Delta,EEG O1_Theta,EEG O1_Alpha,EEG O1_Beta,EEG O1_Gamma,EEG O2_Delta,EEG O2_Theta,EEG O2_Alpha,EEG O2_Beta,EEG O2_Gamma,EEG Fz_Delta,EEG Fz_Theta,EEG Fz_Alpha,EEG Fz_Beta,EEG Fz_Gamma,EEG Cz_Delta,EEG Cz_Theta,EEG Cz_Alpha,EEG Cz_Beta,EEG Cz_Gamma,EEG Pz_Delta,EEG Pz_Theta,EEG Pz_Alpha,EEG Pz_Beta,EEG Pz_Gamma,EEG A2-A1_Delta,EEG A2-A1_Theta,EEG A2-A1_Alpha,EEG A2-A1_Beta,EEG A2-A1_Gamma,ECG ECG_Delta,ECG ECG_Theta,ECG ECG_Alpha,ECG ECG_Beta,ECG ECG_Gamma
Subject12_1,0.449408809,0.18227239,0.087303146,0.188727283,0.033152141,0.458036649,0.176146721,0.083131118,0.189335006,0.033222123,0.43897056,0.243520618,0.105375226,0.143581974,0.017915359,0.328635806,0.256456864,0.238993713,0.127883755,0.016639503,0.43615762,0.167554042,0.08485557,0.210067646,0.039407088,0.428362874,0.163483036,0.082160612,0.222490226,0.043162939,0.418372454,0.238811634,0.136614043,0.140658667,0.016545961,0.234300052,0.145322506,0.110248531,0.450830939,0.027636405,0.414331494,0.266321171,0.146707397,0.123374936,0.009804681,0.398749713,0.253517596,0.159029808,0.141234668,0.009224068,0.358204646,0.246417407,0.177778159,0.149702442,0.020474032,0.352934215,0.264317788,0.229684806,0.108872227,0.008219113,0.244543527,0.238968466,0.328483048,0.14809022,0.013514738,0.349290948,0.252386219,0.259255724,0.095562123,0.007847419,0.205358037,0.195359706,0.491274451,0.077716123,0.006097933,0.271256463,0.208503686,0.396855409,0.081801798,0.006581287,0.368682198,0.265479283,0.157794766,0.153645194,0.016748505,0.442184941,0.260859231,0.12391387,0.122937133,0.008871103,0.326284652,0.256899755,0.288924731,0.088247528,0.00642352,0.321192502,0.165404745,0.107189626,0.269289617,0.065177854,0.463942831,0.193476833,0.097228088,0.192545965,0.008439593
Subject11_1,0.627961455,0.121088249,0.055688342,0.082142729,0.023293514,0.552330028,0.119104975,0.068183941,0.13016647,0.052844224,0.506504549,0.179637969,0.102043996,0.130723342,0.02123521,0.511729021,0.18517283,0.098570215,0.120195657,0.019823427,0.503297325,0.216920922,0.090828937,0.105948366,0.022005108,0.514029289,0.170444856,0.094960045,0.128131263,0.025287284,0.483525996,0.175655399,0.099537648,0.140669835,0.032382956,0.511739169,0.138520735,0.095475828,0.148845573,0.035747826,0.552498203,0.157989457,0.090517246,0.105184699,0.018477325,0.528543001,0.163299209,0.088548364,0.129901571,0.019677612,0.538669023,0.158034392,0.080420653,0.130176767,0.026060557,0.475112912,0.177541578,0.109429251,0.144188015,0.02961532,0.533460718,0.1721674,0.093241395,0.117555173,0.018705184,0.567780309,0.151529835,0.09240277,0.110087148,0.015641652,0.471200338,0.188709077,0.126880955,0.137640381,0.01616808,0.482541141,0.1797053,0.124930405,0.136032833,0.016259564,0.523975422,0.189803302,0.08999341,0.117187544,0.019378982,0.537886989,0.174493428,0.087050346,0.115380144,0.020429917,0.52916711,0.169692803,0.100944296,0.120391548,0.016920066,0.441225404,0.186229478,0.101154425,0.186213084,0.030482602,0.527170658,0.112570786,0.068406283,0.162387479,0.011380761
Subject01_1,0.260226714,0.224046421,0.209690848,0.240567058,0.024678233,0.256927756,0.238660332,0.20593421,0.234807115,0.025541787,0.30385788,0.198003358,0.184728108,0.241587793,0.024577264,0.346773069,0.199252778,0.165400957,0.226631852,0.016479048,0.280032238,0.215203607,0.197107292,0.234400312,0.027009374,0.401447405,0.174090432,0.157888591,0.195171495,0.019170922,0.228035832,0.100846077,0.102314915,0.323988557,0.129274803,0.385926067,0.154070066,0.159608133,0.229935284,0.018102056,0.326855095,0.172744987,0.161697527,0.261470211,0.026580727,0.337372102,0.177192816,0.179377297,0.248936974,0.014489819,0.359274296,0.135465484,0.13757814,0.244158759,0.049052858,0.395744416,0.125133209,0.222180618,0.179730799,0.020517629,0.342463036,0.1557162,0.19491752,0.239044945,0.019099018,0.274819308,0.137302627,0.301962159,0.235395844,0.012938708,0.336482134,0.100194342,0.285620155,0.22159233,0.011833022,0.231403275,0.108438908,0.365782073,0.248925509,0.012209101,0.301340531,0.207702983,0.192101336,0.241659998,0.016241785,0.354789601,0.19057289,0.171273635,0.220804391,0.01507563,0.447976283,0.13964072,0.184252201,0.1607699,0.010060351,0.352634062,0.108503989,0.140437934,0.245300232,0.071844584,0.467295219,0.204685579,0.1156766,0.14498004,0.019538804
Subject13_1,0.389868637,0.223181545,0.11920458,0.184305037,0.027037767,0.38428921,0.249837783,0.11247763,0.165056254,0.026910553,0.326829338,0.262120099,0.136932115,0.199943046,0.027930435,0.400282972,0.242350811,0.108855406,0.164637835,0.02582286,0.560022466,0.167258925,0.078531822,0.104932953,0.015043884,0.520676295,0.15047277,0.080763851,0.137407815,0.029807628,0.525625391,0.172280222,0.092582226,0.124082038,0.019244797,0.528394612,0.155743485,0.092752123,0.124587609,0.023118946,0.455642073,0.237998846,0.108423955,0.120919924,0.017496096,0.461370097,0.201224518,0.103715615,0.131289531,0.030758038,0.42348032,0.189903379,0.104571272,0.178133735,0.034794572,0.387178582,0.182186214,0.130867993,0.171227535,0.051063501,0.449015316,0.223165586,0.114515299,0.12452981,0.02242489,0.441109449,0.219619321,0.130996479,0.13294283,0.017680527,0.430962489,0.226394847,0.127818586,0.128813037,0.02179793,0.475840499,0.188507815,0.110127645,0.112956522,0.026220722,0.407598274,0.266675804,0.110285759,0.141428957,0.021138654,0.458638574,0.239939176,0.108248455,0.118903995,0.018061586,0.44684225,0.232760917,0.120461199,0.124541935,0.016661225,0.456889032,0.177461983,0.103015443,0.142043748,0.036266326,0.437826084,0.22014196,0.092686584,0.125515163,0.031921931
Subject10_1,0.577230894,0.171091558,0.073326051,0.096894834,0.010870941,0.683659028,0.111915543,0.041745987,0.060207976,0.008387263,0.542825917,0.205734526,0.068894685,0.106432713,0.010329055,0.534696332,0.217521916,0.063962479,0.108264548,0.01235351,0.611260376,0.149744283,0.066324101,0.086005393,0.010610611,0.485212141,0.204570537,0.089925996,0.144033103,0.018236806,0.499890026,0.185596043,0.142593394,0.102232226,0.01067937,0.50483018,0.191605307,0.1222952,0.111576812,0.01199368,0.507848757,0.198822662,0.1243459,0.098304766,0.010101962,0.522579699,0.208010214,0.11168194,0.088882848,0.008830919,0.491073783,0.197745425,0.132520748,0.108292274,0.013963765,0.380019632,0.200682581,0.207444829,0.147423206,0.018654808,0.447722137,0.179908254,0.205263436,0.105891236,0.009500107,0.463155486,0.188786701,0.201563914,0.086380451,0.007742718,0.494864205,0.188297103,0.169643363,0.078588831,0.007706163,0.470967865,0.216123824,0.176452663,0.074524136,0.006596131,0.538289093,0.22415645,0.064084244,0.100587027,0.009470804,0.539374016,0.217755252,0.086240777,0.086063373,0.009109073,0.466355365,0.191474055,0.19542665,0.086294609,0.008107847,0.569692863,0.171566182,0.076695775,0.096993093,0.01689916,0.329630988,0.207816629,0.129504524,0.300525816,0.004619581
Subject14_1,0.546682879,0.086306005,0.081129284,0.159162577,0.036294539,0.600930195,0.102533669,0.096292451,0.101173561,0.013713369,0.448897795,0.16903101,0.196481803,0.119881454,0.010797348,0.442685017,0.159604153,0.189588844,0.140726413,0.011949505,0.55123049,0.142994647,0.097156935,0.126054819,0.020209563,0.569572995,0.121704125,0.100833256,0.110182743,0.014242455,0.537537371,0.121479047,0.122673303,0.130490925,0.012278906,0.472628335,0.138936386,0.171700752,0.150596658,0.013171734,0.476252324,0.155505684,0.140041291,0.16023428,0.011753911,0.472264266,0.164559382,0.139444133,0.150155925,0.013836132,0.616245758,0.093364541,0.089539639,0.073432768,0.008821445,0.305823559,0.136288174,0.336261461,0.167442368,0.013464498,0.306243544,0.14924334,0.279147978,0.214030347,0.010822423,0.332070359,0.124206405,0.292982401,0.192247267,0.013007969,0.234213302,0.095344029,0.427102897,0.19511613,0.012261749,0.261274639,0.104661197,0.380660772,0.201278079,0.013246807,0.512296687,0.173757062,0.134890232,0.10905613,0.009417295,0.505026321,0.167504623,0.109256055,0.142602449,0.013475403,0.276072462,0.122820263,0.286289375,0.258100593,0.016906707,0.311242225,0.133277666,0.297871042,0.200075248,0.013689921,0.46443856,0.147923366,0.078618289,0.241010193,0.011258455
Subject18_1,0.244137017,0.268342879,0.265116157,0.163890384,0.021488655,0.298636017,0.228283765,0.257690476,0.163512587,0.015410184,0.321537093,0.270134098,0.211767984,0.146250373,0.012279106,0.280375451,0.235461169,0.226481417,0.206586798,0.017051822,0.390925662,0.206805545,0.190932228,0.130757885,0.016834898,0.360003753,0.219355181,0.197294346,0.164898724,0.015304756,0.359309963,0.23699442,0.199251113,0.138075111,0.015324203,0.297673094,0.251983335,0.26242405,0.138398579,0.011736114,0.330659448,0.260959808,0.217559938,0.145857282,0.010077392,0.3194295,0.271538445,0.235690369,0.12686473,0.010083358,0.339561485,0.230333358,0.231368718,0.134069992,0.017228522,0.275889041,0.208607492,0.339470956,0.115435905,0.015343864,0.252460921,0.290583394,0.276111682,0.13641237,0.011547915,0.281321225,0.247118398,0.309427917,0.115145228,0.009411968,0.26365682,0.210620303,0.372864157,0.108528588,0.010537341,0.254103727,0.200108786,0.386556152,0.1124016,0.009712443,0.307809613,0.242590792,0.200009336,0.194101986,0.017916817,0.326355646,0.28135591,0.217548476,0.126349833,0.011525249,0.296318261,0.276884892,0.262833056,0.118447779,0.009626578,0.360266775,0.205156405,0.215597108,0.153665483,0.014929004,0.309782918,0.294309038,0.169444481,0.194881293,0.003865374
Subject02_1,0.139674799,0.080491623,0.143813914,0.439327696,0.118847768,0.409577378,0.134981109,0.211377253,0.165870525,0.023922037,0.356248529,0.138297652,0.215040773,0.217745832,0.025182106,0.371786047,0.115994684,0.19268176,0.216368754,0.040455578,0.202912013,0.070428789,0.139566065,0.406821604,0.103406748,0.349313445,0.092002365,0.13706713,0.275757442,0.065951606,0.314967133,0.152319184,0.248525985,0.195336476,0.033518127,0.386601117,0.129938202,0.224613514,0.16446701,0.030877129,0.411487122,0.13506478,0.219650239,0.164617945,0.017532465,0.425685199,0.139951872,0.204581822,0.160933079,0.01684089,0.301367624,0.129790674,0.291428181,0.196988502,0.028090347,0.407320961,0.127445889,0.229123142,0.147977384,0.022529971,0.347620973,0.126352204,0.28909275,0.173473441,0.016698081,0.366460073,0.132002163,0.280549334,0.159845525,0.013509116,0.225669933,0.116485291,0.377803444,0.216976014,0.026628475,0.315652837,0.118304762,0.327554293,0.163179266,0.011040055,0.400824054,0.138002283,0.218469811,0.180133014,0.016850153,0.439834015,0.140620673,0.205893211,0.148335865,0.014046849,0.362095991,0.137036112,0.274703491,0.166531384,0.014267524,0.241249497,0.11127226,0.242842468,0.280856752,0.057793045,0.399485214,0.10033711,0.091919244,0.260570737,0.057531169
Subject15_1,0.237893023,0.238803761,0.29859867,0.186769039,0.01048927,0.506473602,0.140582683,0.175961007,0.104444181,0.006493147,0.255405441,0.252411589,0.262654304,0.193605314,0.007661833,0.282889018,0.243452588,0.272961497,0.164475752,0.006637964,0.447145276,0.1889967,0.160456976,0.133998624,0.011499085,0.410946093,0.180008332,0.199821539,0.148266432,0.009693561,0.232105661,0.261925435,0.324460146,0.148907898,0.005783988,0.380208948,0.222017194,0.221381592,0.125021765,0.007604024,0.232172351,0.231019511,0.363666551,0.141707306,0.005712818,0.301128822,0.223694316,0.308389627,0.128242864,0.005815037,0.263279612,0.235463386,0.322314898,0.142268812,0.005873526,0.152690391,0.187730385,0.470002922,0.163133318,0.006905002,0.118725594,0.183797642,0.561513861,0.11770801,0.003570857,0.127296968,0.157167825,0.602678718,0.094286833,0.003860817,0.121337654,0.107295795,0.668479281,0.082966943,0.003781276,0.115035977,0.106060188,0.663041107,0.097827417,0.004238945,0.271220299,0.240270923,0.286380943,0.165403181,0.006544387,0.202178869,0.21914188,0.388401672,0.159658728,0.008251343,0.133891048,0.14486111,0.607529473,0.094873986,0.003314948,0.475491134,0.175413765,0.138848517,0.129612491,0.016248268,0.436176124,0.139106231,0.1067056,0.258980193,0.006578227
Subject16_1,0.583127436,0.144283796,0.094054687,0.09231968,0.009562864,0.5971639,0.142059522,0.083744407,0.08873533,0.008728748,0.444796566,0.202941758,0.14596219,0.140521586,0.011576426,0.434154457,0.213546187,0.130614648,0.156280578,0.013368315,0.576298397,0.142752779,0.102235295,0.09825787,0.012091949,0.502602185,0.168200016,0.109014091,0.136040824,0.014965873,0.39095848,0.183379396,0.224930636,0.134764932,0.01577942,0.399206266,0.215987009,0.15270286,0.148230764,0.02660069,0.385772923,0.204385757,0.199707053,0.152327428,0.01243474,0.402499628,0.208591003,0.187676709,0.144925163,0.011841818,0.416405293,0.160455212,0.209535918,0.146293549,0.014349414,0.31761822,0.208342593,0.215299069,0.168756756,0.033630963,0.352067853,0.19006182,0.265867568,0.136749047,0.010051163,0.413008991,0.182646074,0.235579408,0.114184687,0.007866139,0.30019463,0.166661291,0.361941745,0.123995369,0.006668125,0.398941747,0.161223703,0.285057858,0.10142206,0.005880695,0.430596805,0.216882158,0.14387699,0.145681733,0.011634969,0.391516217,0.222672846,0.174446079,0.155076601,0.012229435,0.349159787,0.211669801,0.258325981,0.127463242,0.008976585,0.640386372,0.109042667,0.070478182,0.090371063,0.016310589,0.301036596,0.326627963,0.181149178,0.170045691,0.000959436
Subject19_1,0.122279156,0.187033453,0.45049685,0.19833415,0.021158881,0.154414436,0.160876482,0.453487956,0.182365587,0.02305273,0.160483728,0.172006095,0.423124011,0.206945212,0.014900517,0.186542665,0.175863498,0.395686497,0.197014146,0.016608264,0.153833505,0.177772232,0.410114773,0.209871599,0.021981922,0.098358588,0.173532092,0.494077844,0.19363836,0.020917553,0.175770594,0.164691771,0.44969818,0.171789405,0.012779723,0.22356855,0.203813216,0.333709374,0.18701132,0.024034835,0.156296114,0.143309466,0.485235116,0.183189464,0.01015077,0.158562452,0.1446575,0.461405945,0.199620444,0.012545951,0.200565461,0.165797258,0.440352725,0.152181492,0.011948846,0.152264711,0.134444356,0.575823204,0.10541121,0.008707258,0.086899442,0.121184105,0.659285955,0.113818279,0.005716985,0.124316136,0.114132017,0.627304824,0.112125314,0.005752432,0.070583928,0.097734441,0.715429497,0.096785379,0.00723486,0.10197244,0.107448011,0.663160614,0.101022138,0.008181234,0.195650113,0.185492245,0.38803472,0.190913056,0.014351885,0.177384766,0.153659046,0.390127729,0.238949756,0.014505019,0.111815756,0.106684317,0.644423438,0.116214803,0.005251484,0.131554468,0.167395263,0.357071843,0.25730235,0.048095123,0.423423726,0.156674204,0.086619918,0.271938373,0.017130019
Subject25_1,0.697510398,0.094604455,0.066880853,0.029126753,0.004326859,0.696339077,0.09927502,0.065065198,0.027381527,0.003212252,0.309761791,0.29902192,0.264057455,0.077694647,0.007876581,0.307905692,0.302951995,0.259027155,0.079547805,0.006783531,0.458022607,0.201733042,0.157560766,0.089846771,0.020136335,0.493087063,0.19140081,0.151334366,0.075689289,0.011283266,0.193309114,0.242755392,0.430164324,0.098752636,0.008817039,0.388235755,0.213832116,0.245002908,0.086753341,0.011108279,0.151882404,0.289063936,0.452888158,0.082968095,0.004905645,0.276788034,0.294016825,0.328709518,0.064223889,0.00408403,0.195303844,0.22354831,0.456494047,0.093303791,0.007790758,0.205928308,0.263543843,0.395606682,0.098837464,0.00767676,0.126285674,0.198208035,0.588222807,0.06952356,0.002745631,0.12589096,0.222013456,0.555302429,0.079510645,0.002728669,0.170289294,0.208543109,0.488495203,0.108517975,0.004670883,0.157358833,0.213211035,0.507195929,0.100476198,0.003636969,0.305199009,0.30917225,0.26580817,0.072903283,0.006087491,0.156987382,0.357355026,0.397293839,0.06523585,0.004790755,0.128783961,0.223501558,0.558677686,0.071285021,0.002676753,0.224662068,0.317025251,0.170079971,0.215909111,0.033440899,0.246319902,0.146523483,0.140291836,0.407606146,0.034734204
Subject26_1,0.531846521,0.165034274,0.124935068,0.103099493,0.014732148,0.491475384,0.173192602,0.138873091,0.118453715,0.015767322,0.449040315,0.217509507,0.177329414,0.098865807,0.009321997,0.446361785,0.21828559,0.174827844,0.104952687,0.011054997,0.484282207,0.201274121,0.128336764,0.105294255,0.015064272,0.478957253,0.190617748,0.159400585,0.100484173,0.011842024,0.402561227,0.21094593,0.22851104,0.10360715,0.012426239,0.428818419,0.2168533,0.194966769,0.104440977,0.010143564,0.439011297,0.210733752,0.208435309,0.089030262,0.009034883,0.44023676,0.227414189,0.195674231,0.085530516,0.00878289,0.389166876,0.215514376,0.262472586,0.085471047,0.008786011,0.372452633,0.230203783,0.242171466,0.106070676,0.008570005,0.258978545,0.218669373,0.413421862,0.073552429,0.005814937,0.322189997,0.203754753,0.354206767,0.076216329,0.006138845,0.180010715,0.218949535,0.516389513,0.058315577,0.003861826,0.179227285,0.219549525,0.512210633,0.062651914,0.004035184,0.468711121,0.215230505,0.166013946,0.093303124,0.009093927,0.427116961,0.218286211,0.213547441,0.091062491,0.008644321,0.300307028,0.210233747,0.376572381,0.076265958,0.006958659,0.479137443,0.190509531,0.100565713,0.15524562,0.017260768,0.444345841,0.1547892,0.073487497,0.256912496,0.017176005
Subject24_1,0.404488116,0.160053507,0.185614428,0.163116331,0.020785013,0.363269254,0.18612256,0.199150494,0.178250988,0.021991614,0.212785346,0.21136823,0.28396464,0.239181888,0.02040653,0.323625224,0.215031764,0.221423401,0.187499605,0.016031028,0.45735837,0.139664454,0.155811496,0.154218797,0.018416522,0.460937528,0.16496087,0.147574864,0.149715142,0.017075125,0.388493425,0.175689573,0.185485913,0.185226228,0.017020528,0.444121041,0.167021493,0.166941397,0.149808146,0.015327804,0.326488124,0.194094007,0.244546067,0.182391207,0.013292934,0.34780723,0.189900403,0.238416408,0.174154852,0.012715984,0.358981123,0.164559642,0.207642359,0.203300152,0.017479786,0.248470574,0.137513876,0.346078902,0.216481395,0.018371944,0.243875932,0.137027099,0.399019208,0.179741497,0.008992223,0.200846292,0.095024418,0.484185217,0.187505363,0.00809329,0.193607876,0.096691593,0.501992296,0.173396274,0.008268521,0.160432683,0.070764229,0.567504798,0.171494533,0.006840724,0.229708051,0.235478738,0.269079031,0.216151828,0.020042932,0.337847595,0.199850798,0.239955575,0.172265754,0.012880399,0.213104967,0.106292027,0.467752933,0.178097788,0.007526793,0.41624571,0.173088252,0.129438557,0.166601976,0.03904403,0.515317269,0.180879768,0.108792253,0.124766494,0.001270766
Subject20_1,0.259894277,0.188397103,0.214040635,0.274132403,0.027070106,0.30425351,0.164203012,0.187721761,0.254018598,0.043920754,0.189913035,0.164349022,0.268700705,0.324520119,0.025488534,0.179951732,0.138818287,0.266025465,0.355161338,0.034064354,0.094927385,0.193369786,0.285636945,0.35030192,0.052533312,0.185308241,0.169416516,0.224756168,0.328047275,0.060038844,0.439684387,0.283954428,0.151289854,0.095798337,0.005875465,0.296269789,0.159124896,0.248688755,0.243269224,0.015362612,0.218088398,0.151785978,0.286276285,0.294869915,0.018832709,0.355094801,0.169867633,0.212810695,0.210371005,0.010093008,0.151111514,0.222561665,0.339216252,0.250923122,0.012917054,0.286018341,0.129377567,0.290444631,0.246925222,0.00974485,0.207787963,0.155323699,0.327088669,0.270502109,0.010710957,0.258155847,0.115524825,0.353481358,0.231533778,0.007427934,0.214326108,0.102695059,0.383582085,0.261715966,0.007322831,0.268153733,0.089033904,0.377528274,0.220147237,0.006549504,0.354888079,0.158188141,0.203511275,0.22393209,0.017111072,0.325948467,0.168234017,0.241561724,0.216637506,0.00951666,0.24954865,0.118129601,0.344731544,0.241381982,0.012366795,0.281927087,0.186282977,0.208092927,0.227329327,0.04508706,0.341689692,0.131642562,0.144001222,0.321464341,0.025765598
Subject21_1,0.374388694,0.274597799,0.164178814,0.128254984,0.011176022,0.586832211,0.120833586,0.103479129,0.125073036,0.013024057,0.353691001,0.201358536,0.220734272,0.173524018,0.010350495,0.325336854,0.257930902,0.20442772,0.170437014,0.010057319,0.395371097,0.18344253,0.178725414,0.178151004,0.016188506,0.402963784,0.184783281,0.178581109,0.165186195,0.016578277,0.34844656,0.19790258,0.225676037,0.175331963,0.012106399,0.370382293,0.243706373,0.171167066,0.165783673,0.009313135,0.358956047,0.207367636,0.223740766,0.162864555,0.010334757,0.34821584,0.240228554,0.206987018,0.15927383,0.010091838,0.317570267,0.198738781,0.240853598,0.189422753,0.015559905,0.316550962,0.167829026,0.253910764,0.208230961,0.013434201,0.310247558,0.18973973,0.276465513,0.177910533,0.009928772,0.344826917,0.174692422,0.257118895,0.176945988,0.010683388,0.245250691,0.144316736,0.37084522,0.201179348,0.007842962,0.272304163,0.137912557,0.356286977,0.192937399,0.007997104,0.357334719,0.211690498,0.218331373,0.162034361,0.011845683,0.346399172,0.218901362,0.223150217,0.167416035,0.010518089,0.297744343,0.187091656,0.28320658,0.187847309,0.011025881,0.436470586,0.1454458,0.185332207,0.177334451,0.010142767,0.388003484,0.215252982,0.131268908,0.222790728,0.01047784
Subject29_1,0.399045406,0.112574105,0.298461038,0.121726535,0.013687841,0.320074255,0.131574957,0.339873776,0.151404061,0.015070998,0.250276504,0.142294194,0.394766278,0.170625683,0.009779493,0.220370259,0.156579532,0.394875265,0.190722771,0.010472249,0.319865582,0.131395949,0.331287623,0.158768733,0.015203031,0.31985073,0.138961939,0.300911067,0.176463617,0.01636028,0.180266574,0.40003978,0.242004183,0.148266462,0.008734815,0.182415926,0.178799243,0.418275092,0.189366652,0.008391997,0.201009754,0.165383923,0.40130675,0.195409586,0.009037529,0.176994047,0.18197381,0.416988372,0.195306367,0.007748326,0.230280329,0.171195124,0.362820028,0.195813487,0.008370229,0.117875102,0.139083573,0.553058201,0.166735501,0.00488549,0.132108962,0.159171329,0.51895919,0.166112098,0.004695738,0.246125154,0.133889763,0.448804235,0.131048006,0.003603952,0.092079879,0.115010846,0.641749254,0.133366633,0.003380243,0.082435297,0.110044917,0.674468686,0.115776768,0.003199947,0.218883,0.155316238,0.406296054,0.184397243,0.009111048,0.181666782,0.177924887,0.42713953,0.182577573,0.008407482,0.115213851,0.152846675,0.56603064,0.144923941,0.004151939,0.314110506,0.164669501,0.249062871,0.216155857,0.017569898,0.436610118,0.156330258,0.088969707,0.239519593,0.031252114
