,EEG Fp1_Delta,EEG Fp1_Theta,EEG Fp1_Alpha,EEG Fp1_Beta,EEG Fp1_Gamma,EEG Fp2_Delta,EEG Fp2_Theta,EEG Fp2_Alpha,EEG Fp2_Beta,EEG Fp2_Gamma,EEG F3_Delta,EEG F3_Theta,EEG F3_Alpha,EEG F3_Beta,EEG F3_Gamma,EEG F4_Delta,EEG F4_Theta,EEG F4_Alpha,EEG F4_Beta,EEG F4_Gamma,EEG F7_Delta,EEG F7_Theta,EEG F7_Alpha,EEG F7_Beta,EEG F7_Gamma,EEG F8_Delta,EEG F8_Theta,EEG F8_Alpha,EEG F8_Beta,EEG F8_Gamma,EEG T3_Delta,EEG T3_Theta,EEG T3_Alpha,EEG T3_Beta,EEG T3_Gamma,EEG T4_Delta,EEG T4_Theta,EEG T4_Alpha,EEG T4_Beta,EEG T4_Gamma,EEG C3_Delta,EEG C3_Theta,EEG C3_Alpha,EEG C3_Beta,EEG C3_Gamma,EEG C4_Delta,EEG C4_Theta,EEG C4_Alpha,EEG C4_Beta,EEG C4_Gamma,EEG T5_Delta,EEG T5_Theta,EEG T5_Alpha,EEG T5_Beta,EEG T5_Gamma,EEG T6_Delta,EEG T6_Theta,EEG T6_Alpha,EEG T6_Beta,EEG T6_Gamma,EEG P3_Delta,EEG P3_Theta,EEG P3_Alpha,EEG P3_Beta,EEG P3_Gamma,EEG P4_Delta,EEG P4_Theta,EEG P4_Alpha,EEG P4_Beta,EEG P4_Gamma,EEG O1_Delta,EEG O1_Theta,EEG O1_Alpha,EEG O1_Beta,EEG O1_Gamma,EEG O2_Delta,EEG O2_Theta,EEG O2_Alpha,EEG O2_Beta,EEG O2_Gamma,EEG Fz_Delta,EEG Fz_Theta,EEG Fz_Alpha,EEG Fz_Beta,EEG Fz_Gamma,EEG Cz_Delta,EEG Cz_Theta,EEG Cz_Alpha,EEG Cz_Beta,EEG Cz_Gamma,EEG Pz_Delta,EEG Pz_Theta,EEG Pz_Alpha,EEG Pz_Beta,EEG Pz_Gamma,EEG A2-A1_Delta,EEG A2-A1_Theta,EEG A2-A1_Alpha,EEG A2-A1_Beta,EEG A2-A1_Gamma,ECG ECG_Delta,ECG ECG_Theta,ECG ECG_Alpha,ECG ECG_Beta,ECG ECG_Gamma
Subject23_1,0.37991108,0.220336434,0.25446769,0.08385292,0.007450066,0.437699244,0.185918698,0.201437925,0.087222331,0.019438608,0.254086573,0.266875542,0.317354198,0.121025733,0.0104352,0.284436353,0.265187508,0.288278952,0.117519917,0.007737954,0.216366862,0.17581918,0.478099673,0.094755842,0.006846106,0.379860902,0.219812197,0.2304973,0.100768385,0.011943936,0.201521905,0.192720696,0.436801015,0.135730572,0.0087699,0.24666237,0.239359463,0.277510235,0.179739681,0.02010972,0.227192897,0.283626062,0.340071942,0.112850607,0.007537488,0.230835048,0.311963168,0.303737063,0.118152012,0.007140765,0.185287895,0.239413938,0.431687565,0.112445934,0.007604423,0.15721283,0.331965309,0.373870431,0.108040483,0.006749034,0.178525682,0.308369559,0.388609881,0.095258271,0.005380683,0.171549674,0.337201935,0.365167807,0.09756995,0.004968084,0.097318815,0.290262367,0.52352404,0.072014138,0.002931312,0.109461078,0.313236468,0.487390551,0.071332524,0.003010037,0.262048532,0.277620426,0.314692274,0.106800502,0.007098925,0.223007256,0.333017779,0.301647077,0.10701806,0.00741996,0.175289868,0.375455801,0.330966117,0.090759176,0.005188572,0.285847636,0.194057612,0.276631787,0.192810701,0.014690264,0.209646205,0.212212633,0.16048594,0.376352286,0.026382674
Subject11_2,0.444436425,0.14633492,0.081213069,0.143114621,0.09219381,0.397074925,0.132645994,0.080239657,0.166033724,0.116160085,0.385595301,0.188415039,0.119354137,0.192645049,0.05145842,0.431267987,0.205247308,0.098669501,0.159144762,0.035485321,0.313353092,0.283045287,0.146803404,0.163963145,0.038040001,0.450423722,0.147314261,0.085982231,0.172572627,0.056188251,0.311717631,0.235416041,0.158818364,0.202645967,0.037307589,0.55480515,0.137542103,0.090942319,0.117409229,0.025895188,0.465097714,0.138958121,0.149145478,0.147060652,0.028769173,0.422187084,0.162885648,0.111636249,0.17643994,0.049867593,0.486052215,0.13140511,0.102574746,0.162854024,0.03702895,0.431094181,0.185226253,0.134421004,0.138441038,0.031601124,0.531548142,0.14267081,0.091975182,0.121327319,0.026109131,0.52378811,0.134822787,0.094844285,0.131518774,0.024158301,0.520120558,0.123959892,0.109176719,0.136911641,0.027113506,0.502557133,0.097285294,0.135041169,0.141652307,0.030820419,0.442053921,0.225832907,0.095671864,0.139936957,0.030660368,0.486015813,0.171955149,0.090542483,0.140297613,0.035220517,0.542830626,0.132877784,0.088857685,0.121464025,0.024315813,0.205454498,0.164869953,0.168311227,0.324103309,0.076359614,0.148387221,0.246527632,0.160113878,0.395863404,0.034128677
Subject12_2,0.334643739,0.156204869,0.158282925,0.224356222,0.061071786,0.317685959,0.1908841,0.206997202,0.190324727,0.040546102,0.317192558,0.259608067,0.219384313,0.129447913,0.026300498,0.298983931,0.268873504,0.256065144,0.122716039,0.018169316,0.246845412,0.168483166,0.183279973,0.277912947,0.06080363,0.362505987,0.173372639,0.184108241,0.181767085,0.037775815,0.247194603,0.233032255,0.319753888,0.13773826,0.025350182,0.282936685,0.282064241,0.294917605,0.097235071,0.012206758,0.250574696,0.265016004,0.34408578,0.097819484,0.013095435,0.224473108,0.261295149,0.360970634,0.118781107,0.009683801,0.21228093,0.207276271,0.388249587,0.1270161,0.02682471,0.12526287,0.217559112,0.539567613,0.091884851,0.008609368,0.163043571,0.214481771,0.511070323,0.081444102,0.007727425,0.150659387,0.21895349,0.543649749,0.063097799,0.006102829,0.074862095,0.170260722,0.695004224,0.04488722,0.003621022,0.104581571,0.184278847,0.642386659,0.048998711,0.004382257,0.254874022,0.271764361,0.275013084,0.139718837,0.021194568,0.290666289,0.266159644,0.30264043,0.096164779,0.011561353,0.126094349,0.220702937,0.580844051,0.052359775,0.004686245,0.20110234,0.154124567,0.222371967,0.258619388,0.093452875,0.416980569,0.206601048,0.110390648,0.225807868,0.009570212
Subject10_2,0.493319769,0.163667477,0.116443226,0.125947722,0.021243822,0.603421078,0.131929733,0.072663455,0.093986677,0.018125262,0.394144884,0.270695911,0.136767911,0.136352684,0.0166833,0.396482453,0.256506239,0.134032026,0.14299424,0.022381942,0.512799487,0.162115619,0.104528606,0.123233016,0.019399973,0.550555528,0.158285926,0.094801853,0.102956396,0.015600982,0.357957733,0.139605779,0.247870328,0.190989287,0.02160203,0.376279354,0.145370977,0.221571744,0.193908592,0.016516163,0.342691488,0.159747845,0.280220186,0.160630678,0.013034916,0.341977567,0.165897939,0.263668001,0.173699849,0.014153258,0.341982433,0.129831937,0.263619771,0.202048008,0.020164832,0.218830222,0.150266221,0.367834766,0.209931391,0.025023507,0.228783476,0.085280537,0.454131617,0.192996492,0.00704632,0.23092292,0.089871826,0.458225873,0.184404031,0.00681022,0.166724681,0.0612242,0.574376991,0.167056042,0.005419441,0.165757747,0.06542824,0.57779699,0.160929892,0.005005638,0.396036216,0.303551254,0.127746097,0.114506147,0.012371746,0.403306955,0.187283977,0.213391264,0.129234641,0.015136294,0.22693827,0.081411972,0.473117892,0.179879828,0.007073326,0.307751308,0.180251525,0.186173981,0.260332974,0.02550219,0.322847921,0.211430369,0.130374353,0.306851193,0.004234945
Subject02_2,0.184163351,0.079869412,0.104568654,0.414094458,0.13497753,0.31088263,0.133331394,0.193430225,0.242327289,0.049615619,0.296782687,0.132318262,0.200561223,0.26897039,0.048238635,0.374817794,0.133685052,0.186843885,0.203668272,0.035914432,0.20320016,0.077255403,0.115367183,0.397249465,0.125768194,0.401017207,0.099652608,0.133738407,0.221996673,0.062250319,0.286906183,0.125050869,0.185210818,0.270636339,0.066642748,0.343046282,0.112574512,0.204036345,0.22421997,0.044394805,0.385653147,0.14128607,0.201579325,0.191014524,0.023639527,0.371330336,0.150048454,0.213123686,0.192363361,0.018775141,0.265489418,0.107993949,0.210139309,0.283888086,0.059776555,0.33003652,0.112987069,0.215370132,0.219192715,0.046756181,0.278055292,0.129673032,0.25207749,0.27312013,0.022967354,0.324040478,0.136609844,0.24701771,0.227483999,0.017464019,0.14858037,0.089595279,0.31307668,0.372433,0.040590124,0.158301007,0.104026286,0.389471421,0.298600662,0.020455311,0.394039403,0.144192954,0.184816062,0.199094365,0.023372263,0.374249875,0.1602608,0.21806353,0.175551613,0.017445693,0.286808013,0.143824082,0.270271916,0.238837926,0.018287961,0.324507082,0.162415743,0.248396655,0.152596233,0.040717915,0.381635666,0.123631789,0.08303371,0.324255197,0.035867876
Subject18_2,0.230849419,0.21560013,0.226430923,0.254963929,0.03248004,0.294543044,0.179640437,0.190868249,0.261302866,0.026442487,0.3386797,0.197850723,0.173083111,0.222235396,0.01968629,0.279822373,0.228897091,0.149811892,0.268709748,0.025952322,0.336535405,0.188887484,0.171117023,0.211156731,0.027680422,0.247715665,0.210742049,0.223695789,0.257814014,0.019243405,0.413660719,0.189630119,0.146794166,0.167290993,0.01834831,0.321458655,0.210373882,0.180170642,0.217718987,0.021077128,0.270608894,0.211488972,0.162411693,0.311238783,0.010709979,0.424011841,0.209227923,0.13556672,0.167278918,0.016680684,0.554784192,0.127447516,0.115777122,0.126919888,0.029012265,0.32238471,0.142322072,0.249450802,0.199420887,0.029622554,0.36543585,0.216360698,0.182658785,0.167540016,0.015812029,0.417613242,0.171298799,0.155858036,0.173856094,0.019086004,0.414950796,0.169129236,0.186861022,0.164239534,0.021636001,0.378654674,0.136586357,0.216174831,0.188472467,0.021142565,0.25167698,0.196922796,0.141085358,0.330407352,0.038009112,0.403108775,0.232052243,0.133973956,0.155611577,0.016025398,0.42839729,0.192069158,0.14290269,0.162928867,0.017223465,0.315986289,0.163691729,0.213597019,0.218534854,0.03739252,0.188450455,0.32266633,0.210228593,0.259745825,0.004052616
Subject16_2,0.301052811,0.265123952,0.127100372,0.207475346,0.044600247,0.432860842,0.168334717,0.085048935,0.184672719,0.056302881,0.408868741,0.234616647,0.102406814,0.160069629,0.03386563,0.380264342,0.226619607,0.090840273,0.190696831,0.046170448,0.354609334,0.199366364,0.105052902,0.209001212,0.059076218,0.336438735,0.228996037,0.108905891,0.207333425,0.057036412,0.338386016,0.188726092,0.128276659,0.187291182,0.070895241,0.272536592,0.241953982,0.091727451,0.192437363,0.093642488,0.40943537,0.229028446,0.118194688,0.158648669,0.02881325,0.389404369,0.212857134,0.154476117,0.155619649,0.030371357,0.390746384,0.190133566,0.124729999,0.195619206,0.038896115,0.339983818,0.147819057,0.115107183,0.210976027,0.082190412,0.427229945,0.191873597,0.14806905,0.16071495,0.020315079,0.421043811,0.189576892,0.164237017,0.153423963,0.020222353,0.378812545,0.187192585,0.192469212,0.1822546,0.015891229,0.428247913,0.177479211,0.182246875,0.153100809,0.01350136,0.420278945,0.255991183,0.098977622,0.148724587,0.024290549,0.415600887,0.227655553,0.126802316,0.1538877,0.023420937,0.370897402,0.218178709,0.172477094,0.171357528,0.018482057,0.519322414,0.1674875,0.065741498,0.144198304,0.035781374,0.250979208,0.331098408,0.210030877,0.190412324,0.001550286
Subject19_2,0.181685616,0.192315042,0.282534002,0.239350557,0.060354472,0.140136495,0.183314329,0.260035732,0.255292051,0.10904048,0.358079723,0.188019562,0.224013816,0.161170338,0.022773797,0.309109134,0.196143712,0.243163861,0.174198248,0.031771827,0.482860969,0.144022017,0.150776794,0.136599213,0.022320793,0.349157671,0.13907567,0.145375207,0.190726602,0.096423947,0.348611394,0.159209828,0.229164436,0.191433537,0.025867948,0.188605416,0.094809877,0.144444645,0.310083023,0.15023449,0.357274219,0.173617841,0.221202818,0.181383219,0.021127102,0.337139318,0.176233107,0.213717287,0.191063627,0.030697514,0.38621625,0.128974064,0.216275777,0.185777852,0.024730116,0.314748546,0.099748168,0.294306533,0.21860685,0.020805576,0.353217019,0.184299561,0.244954898,0.157266931,0.014199249,0.278061831,0.167829106,0.33709314,0.164396806,0.017914005,0.2355742,0.117492231,0.428075716,0.164349196,0.020447703,0.297454724,0.116518404,0.351622724,0.165187554,0.023051296,0.324501542,0.204714816,0.234022762,0.166756216,0.024485809,0.333104633,0.180458998,0.233108656,0.18474921,0.022992989,0.318363184,0.203951929,0.249350654,0.162669103,0.016577858,0.106459193,0.181944886,0.239276681,0.331251319,0.085323077,0.358187162,0.16439322,0.104661561,0.313606627,0.021178219
Subject17_2,0.640410462,0.110696416,0.07450989,0.054948273,0.017478118,0.66667929,0.076401788,0.053589226,0.083909691,0.027167825,0.551771618,0.13939771,0.122859807,0.081642259,0.020660533,0.526796191,0.154912377,0.154493458,0.082756629,0.016390842,0.564172931,0.124961836,0.101052617,0.090197156,0.027426581,0.633957816,0.114097048,0.081433444,0.07643052,0.019562808,0.474700801,0.160183434,0.121942299,0.140343161,0.031859928,0.420941161,0.178505697,0.204329657,0.127224461,0.022664528,0.476918524,0.193832969,0.137708099,0.113792698,0.019199156,0.501732536,0.212505991,0.102510511,0.109363936,0.020427642,0.484141179,0.121912901,0.096897586,0.163939764,0.041853159,0.185794105,0.450220867,0.251331032,0.077622358,0.01232629,0.442554927,0.151827258,0.169024258,0.159755209,0.022639157,0.394738636,0.149623424,0.258722305,0.127830939,0.018561423,0.324511583,0.141524638,0.301186952,0.177968551,0.015565233,0.392768029,0.12551193,0.261520223,0.152410985,0.01673709,0.513325579,0.169141128,0.149138948,0.081960629,0.014760077,0.491719919,0.201138715,0.139691001,0.094727145,0.016284539,0.454174301,0.199727448,0.130972762,0.138756579,0.019668903,0.377450687,0.117742099,0.101382368,0.226600147,0.10401809,0.412615575,0.247249641,0.144113455,0.155532277,0.009996788
Subject21_2,0.530120792,0.135930987,0.133947694,0.108251684,0.012382513,0.590685383,0.134541073,0.083643974,0.108798209,0.012837337,0.308500739,0.19059301,0.274943741,0.173596053,0.013351398,0.247733063,0.216148441,0.245564761,0.237633224,0.021907261,0.446002245,0.226142113,0.157268203,0.118151347,0.011813796,0.496806814,0.1444086,0.137908151,0.142936474,0.017962708,0.257467527,0.167149943,0.319434676,0.20319508,0.01599857,0.422557813,0.195411697,0.137030164,0.19806279,0.012649021,0.290492843,0.191649949,0.272894411,0.194471319,0.016170898,0.313600794,0.264290252,0.195860876,0.180475595,0.015251072,0.230179997,0.210221742,0.322554972,0.1985911,0.013908412,0.29042691,0.172106481,0.229208398,0.253639337,0.017823974,0.276665156,0.182876578,0.321583687,0.17256317,0.014021142,0.32985982,0.163810361,0.24889075,0.203874164,0.01651141,0.227618342,0.157015998,0.425289259,0.15067713,0.009324242,0.321426829,0.163705781,0.325721708,0.14895443,0.009062546,0.269303283,0.279694459,0.230787529,0.169204606,0.018051039,0.320556336,0.214033427,0.233647681,0.177688562,0.016666182,0.29342344,0.21262971,0.261709809,0.182158643,0.018774596,0.366084698,0.198431464,0.180128285,0.189473434,0.016794273,0.318781795,0.213421455,0.148572848,0.266128256,0.012868229
Subject23_2,0.5136082,0.171527097,0.179664409,0.062612361,0.006059103,0.548296277,0.151687112,0.133691986,0.067435438,0.021757259,0.31947025,0.241755978,0.289145625,0.100932948,0.009062041,0.332728944,0.217924951,0.285590584,0.10906882,0.008768831,0.366006469,0.185245536,0.240141142,0.153126702,0.009032384,0.460387575,0.168655035,0.205069791,0.091635031,0.014053127,0.372461462,0.17871054,0.274633476,0.125806264,0.008338965,0.307012176,0.176835157,0.263306279,0.18589238,0.021723101,0.318625236,0.209323085,0.304372095,0.117927456,0.009607056,0.306681234,0.227554719,0.283957488,0.129021978,0.009397509,0.280883674,0.185480058,0.355215528,0.132252371,0.0099533,0.240555675,0.198180899,0.368178301,0.135528795,0.016075829,0.2651285,0.216699044,0.354313965,0.120281076,0.007696191,0.279140057,0.217903911,0.333404575,0.115983681,0.007097375,0.14653183,0.206804163,0.526709255,0.093912204,0.004434909,0.139352517,0.233603439,0.520924497,0.080218365,0.004265383,0.314483419,0.229264483,0.301097075,0.105704681,0.00862393,0.289960613,0.237377648,0.305702518,0.117596979,0.009871003,0.228685329,0.267750871,0.327927424,0.13351823,0.007903738,0.368750767,0.146949611,0.215734333,0.197391827,0.022870244,0.201519736,0.202623763,0.175153643,0.377214094,0.028619426
Subject26_2,0.614530463,0.108056387,0.093316778,0.064278259,0.012032422,0.666375614,0.083951503,0.077534264,0.037037559,0.006742894,0.536005402,0.171003509,0.135928876,0.068260458,0.009997415,0.514015336,0.154384561,0.146825736,0.09044962,0.016689814,0.604681516,0.133118314,0.087448284,0.060597587,0.011021471,0.670349716,0.080725608,0.079556401,0.040752456,0.007488007,0.511403418,0.202042526,0.127870618,0.089505503,0.010821879,0.548001852,0.171323243,0.115716001,0.081301237,0.011139772,0.5270021,0.201445644,0.123496444,0.073267394,0.009342005,0.494134032,0.239129691,0.130457433,0.070461593,0.009477322,0.495609619,0.16388805,0.201107648,0.078668665,0.009951975,0.454062879,0.144668847,0.236735954,0.094648187,0.011898951,0.411539326,0.179440083,0.27202319,0.081480267,0.00784233,0.427498513,0.151766415,0.26814758,0.08491034,0.010126677,0.28878127,0.132954591,0.474932322,0.063165629,0.005948839,0.26042393,0.126170038,0.506818764,0.068088429,0.00600613,0.542338231,0.16070685,0.144081931,0.068417039,0.009450287,0.52217034,0.190136324,0.142466849,0.071869945,0.008710583,0.423406488,0.16990561,0.256498249,0.086444123,0.010807617,0.506746612,0.134112166,0.069591753,0.164181587,0.03921817,0.348973868,0.155814695,0.096330721,0.335385981,0.022786531
Subject22_2,0.609890776,0.092374299,0.117038372,0.086574008,0.011727308,0.557110835,0.109326734,0.140754457,0.10305112,0.012617145,0.384469884,0.165689359,0.223492344,0.168304171,0.011454488,0.282894745,0.250151539,0.278937333,0.142508747,0.01055343,0.513484617,0.114846517,0.160388903,0.129079579,0.013437665,0.483862353,0.137092119,0.164862407,0.130688059,0.014782685,0.380525083,0.137310349,0.218531611,0.195167557,0.020320071,0.401835361,0.181042484,0.166349397,0.173285597,0.023395501,0.369185976,0.137229125,0.244834721,0.194476297,0.01369577,0.338801135,0.18764931,0.241239534,0.182563188,0.012790584,0.373650418,0.12304194,0.201890777,0.222306099,0.029052223,0.382123599,0.141692444,0.214780827,0.211032966,0.013010886,0.428203816,0.120595762,0.19103159,0.199223934,0.015144576,0.34152158,0.118490918,0.263204195,0.227566597,0.012559305,0.299394554,0.093613277,0.282627108,0.274441949,0.012844975,0.328627836,0.125544168,0.262972658,0.235317331,0.009144462,0.379489103,0.186512692,0.220036377,0.157402962,0.011061136,0.373808086,0.151826922,0.24706864,0.174944396,0.012473552,0.346190164,0.123854427,0.249333168,0.229192411,0.012364389,0.332699144,0.133970674,0.210633118,0.242751728,0.029964603,0.135452082,0.160707514,0.202645923,0.481061716,0.011753062
Subject25_2,0.703554563,0.111521494,0.069575498,0.032530545,0.004408524,0.714575709,0.113288064,0.059292189,0.027642196,0.003219439,0.333514939,0.254219203,0.282990377,0.08541422,0.007388644,0.348885076,0.252431094,0.274276935,0.081664712,0.006179468,0.484419592,0.190960782,0.154883164,0.09661506,0.015203707,0.555525061,0.161969884,0.130001753,0.068895413,0.011148309,0.224720802,0.184020025,0.438128447,0.11556019,0.010818232,0.327060335,0.176924296,0.30159309,0.109806599,0.02353393,0.180144343,0.227442052,0.47349569,0.097713689,0.004635796,0.279432179,0.231657759,0.390858443,0.069296924,0.003961118,0.241282494,0.148123386,0.476347868,0.098194913,0.007591517,0.415169411,0.124862016,0.320044594,0.080075829,0.00836648,0.098733574,0.110889905,0.681853203,0.095491165,0.00280571,0.120800963,0.133582379,0.641863926,0.090131269,0.00298925,0.136645335,0.121194691,0.598312057,0.124354828,0.004630702,0.225973843,0.128583214,0.513808269,0.091144596,0.003132966,0.348612804,0.253449054,0.277545594,0.077466662,0.005715599,0.173955687,0.261529847,0.459905091,0.083127727,0.004379715,0.115639603,0.126117135,0.637006501,0.1071633,0.002885808,0.277422424,0.250082473,0.151270937,0.235369643,0.042319431,0.206778135,0.139720143,0.161365418,0.441734785,0.033279123
Subject24_2,0.551772149,0.131395072,0.086804565,0.124923839,0.023428015,0.365294614,0.191989897,0.136989541,0.197301967,0.041771032,0.316765237,0.213869187,0.167483314,0.221534566,0.029357828,0.353115057,0.230506391,0.145312832,0.190675199,0.026607167,0.471140165,0.149891298,0.113776797,0.157205558,0.02543147,0.585324001,0.127369701,0.073388634,0.119380649,0.021484925,0.35816415,0.163846373,0.163266663,0.22300937,0.029730779,0.576567691,0.112928558,0.084476459,0.111266028,0.020057245,0.365361336,0.188779253,0.172623487,0.199137969,0.021999442,0.382504768,0.181392574,0.166033264,0.186389474,0.023746912,0.213217726,0.150018926,0.238154271,0.3036668,0.04199621,0.419482183,0.122169604,0.209268443,0.166262628,0.026167829,0.239519557,0.108554732,0.358067325,0.237790244,0.018612356,0.205285382,0.088491951,0.43056456,0.232497618,0.013145707,0.251626824,0.063901207,0.40651849,0.222329326,0.021973278,0.171107479,0.054347295,0.519402614,0.220473305,0.010859127,0.352833032,0.239374083,0.14215394,0.1861865,0.027771049,0.390066451,0.186031541,0.157117608,0.18788635,0.022798638,0.206920231,0.095618139,0.404313326,0.246230954,0.014860566,0.325988044,0.143606182,0.123335802,0.231431955,0.074968329,0.511771754,0.184921283,0.109268958,0.125591469,0.001233688
Subject32_2,0.29309856,0.239122189,0.273016786,0.115446288,0.02659576,0.360838045,0.296281302,0.180105575,0.101455764,0.016995174,0.29942821,0.266256117,0.2440996,0.10951088,0.02540393,0.313513347,0.26826844,0.251741905,0.108219821,0.015287183,0.296059632,0.242808453,0.236341558,0.132005572,0.031619103,0.437153512,0.203237861,0.170488283,0.114021517,0.019481223,0.214829005,0.271571333,0.313063509,0.129055538,0.025258201,0.258933379,0.270130088,0.295450438,0.117887399,0.019397036,0.25162726,0.286100811,0.293580752,0.107518659,0.020523079,0.260528126,0.300285709,0.28835083,0.101768058,0.013448005,0.261345255,0.223752779,0.281188369,0.160545266,0.026196288,0.145053914,0.260932771,0.467118924,0.092442616,0.01047828,0.20120028,0.274734786,0.33574896,0.133528348,0.021745685,0.193499502,0.300114685,0.346125735,0.116907237,0.013889663,0.166348278,0.222320536,0.299133343,0.197379582,0.063622332,0.146885428,0.257523516,0.370293639,0.145533785,0.04143285,0.310496435,0.277119238,0.250329697,0.103350243,0.015274369,0.279801297,0.315693681,0.255477056,0.097516286,0.01343679,0.207091311,0.305338456,0.320594984,0.119810843,0.016488954,0.261069981,0.208635168,0.27594314,0.183673988,0.029918135,0.229531412,0.165968338,0.158459407,0.399525453,0.023967768
Subject30_2,0.627804024,0.115466987,0.091938283,0.063287012,0.007606312,0.637045413,0.10081279,0.090536751,0.065447154,0.007982469,0.45970603,0.158568889,0.183252509,0.121001998,0.011356669,0.462567128,0.163737854,0.169319137,0.128571648,0.011652942,0.578798757,0.126922775,0.122388568,0.080063737,0.008433867,0.610947437,0.105806241,0.102932568,0.075407671,0.008363,0.361795532,0.150418092,0.258009024,0.167997223,0.015630447,0.351625736,0.16048849,0.274582905,0.14506538,0.015978909,0.267547171,0.17010759,0.358034596,0.15529847,0.010884183,0.332125321,0.219554583,0.241057123,0.148033976,0.014605784,0.339353152,0.139401476,0.32021872,0.131880721,0.021652478,0.183819532,0.130452222,0.385102318,0.227459059,0.033900987,0.252472515,0.187531274,0.37835502,0.138140342,0.009373918,0.220260305,0.159876461,0.433412466,0.14297414,0.01004701,0.200918976,0.138671617,0.485305654,0.135500877,0.01202569,0.18695307,0.164339815,0.499416791,0.115598198,0.00819059,0.456678506,0.178896409,0.164665503,0.12530327,0.012188412,0.264391182,0.185064928,0.332608829,0.16179495,0.015895163,0.234428784,0.170914567,0.418075497,0.131613164,0.010925341,0.304698523,0.163037965,0.276773803,0.169416313,0.031335255,0.211493486,0.226269359,0.133126076,0.387378723,0.0230687
Subject33_2,0.555360987,0.195492627,0.095781457,0.093619439,0.013421297,0.4925178,0.194266477,0.112437587,0.122408752,0.019967855,0.480335666,0.233969425,0.116661917,0.116772864,0.011519986,0.505518602,0.20323785,0.118430972,0.110800966,0.010434426,0.533554766,0.170785972,0.112198536,0.11251213,0.016314297,0.537306271,0.172194079,0.092985922,0.116672762,0.016959498,0.443197779,0.194257113,0.147719491,0.150173311,0.019197886,0.392383023,0.171499076,0.215435159,0.154638793,0.019320433,0.447346982,0.204841473,0.156255474,0.135856401,0.013777647,0.43460972,0.191312172,0.181526222,0.134557395,0.014635462,0.442972704,0.184985295,0.13671512,0.16269383,0.020149668,0.331451324,0.13914429,0.294236436,0.183325259,0.013607294,0.403889701,0.184799244,0.193763568,0.159317091,0.013087263,0.365785656,0.160859317,0.277678183,0.145440318,0.011585856,0.303229758,0.155981915,0.328125954,0.166850775,0.012279953,0.311979208,0.139405668,0.34267229,0.160776701,0.011814235,0.513817832,0.205796304,0.112889295,0.114206204,0.010548611,0.485009612,0.201222631,0.129124728,0.125768806,0.013635723,0.382464739,0.185464976,0.23183314,0.147408005,0.012350989,0.561758799,0.202369122,0.078973134,0.100506572,0.011353802,0.322564081,0.082053833,0.200857581,0.341401209,0.019094917
